Date_reported,Country,New_cases
2020-05-22,Brazil,19951
2020-05-23,Brazil,18508
2020-05-24,Brazil,20803
2020-05-25,Brazil,16508
2020-05-26,Brazil,15813
2020-05-27,Brazil,11687
2020-05-28,Brazil,16324
2020-05-29,Brazil,20599
2020-05-30,Brazil,26417
2020-05-31,Brazil,26928
2020-06-01,Brazil,33274
2020-06-02,Brazil,16409
2020-06-03,Brazil,11598
2020-06-04,Brazil,28936
2020-06-05,Brazil,28633
2020-06-06,Brazil,30925
2020-06-07,Brazil,30830
2020-06-08,Brazil,27075
2020-06-09,Brazil,18912
2020-06-10,Brazil,15654
2020-06-11,Brazil,32091
2020-06-12,Brazil,32913
2020-06-13,Brazil,30412
2020-06-14,Brazil,25982
2020-06-15,Brazil,21704
2020-06-16,Brazil,17110
2020-06-17,Brazil,20647
2020-06-18,Brazil,34918
2020-06-19,Brazil,32188
2020-06-20,Brazil,22765
2020-06-21,Brazil,54771
2020-06-22,Brazil,34666
2020-06-23,Brazil,17459
2020-06-24,Brazil,21432
2020-06-25,Brazil,39436
2020-06-26,Brazil,42725
2020-06-27,Brazil,39483
2020-06-28,Brazil,46860
2020-06-29,Brazil,38693
2020-06-30,Brazil,30476
2020-07-01,Brazil,24052
2020-07-02,Brazil,33846
2020-07-03,Brazil,46712
2020-07-04,Brazil,48105
2020-07-05,Brazil,42223
2020-07-06,Brazil,37923
2020-07-07,Brazil,26051
2020-07-08,Brazil,20229
2020-07-09,Brazil,45305
2020-07-10,Brazil,44571
2020-07-11,Brazil,42619
2020-07-12,Brazil,45048
2020-07-13,Brazil,39023
2020-07-14,Brazil,24831
2020-07-15,Brazil,20286
2020-07-16,Brazil,41857
2020-07-17,Brazil,39924
2020-07-18,Brazil,45403
2020-07-19,Brazil,34177
2020-07-20,Brazil,28532
2020-07-21,Brazil,23529
2020-07-22,Brazil,20257
2020-07-23,Brazil,41008
2020-07-24,Brazil,67860
2020-07-25,Brazil,59961
2020-07-26,Brazil,55891
2020-07-27,Brazil,51147
2020-07-28,Brazil,24578
2020-07-29,Brazil,23284
2020-07-30,Brazil,40816
2020-07-31,Brazil,69074
2020-08-01,Brazil,57837
2020-08-02,Brazil,52383
2020-08-03,Brazil,45392
2020-08-04,Brazil,25800
2020-08-05,Brazil,16641
2020-08-06,Brazil,51603
2020-08-07,Brazil,57152
2020-08-08,Brazil,53139
2020-08-09,Brazil,50230
2020-08-10,Brazil,49970
2020-08-11,Brazil,23010
2020-08-12,Brazil,22048
2020-08-13,Brazil,52160
2020-08-14,Brazil,55155
2020-08-15,Brazil,60091
2020-08-16,Brazil,50644
2020-08-17,Brazil,41576
2020-08-18,Brazil,23101
2020-08-19,Brazil,19373
2020-08-20,Brazil,47784
2020-08-21,Brazil,49298
2020-08-22,Brazil,45323
2020-08-23,Brazil,30355
2020-08-24,Brazil,50032
2020-08-25,Brazil,23421
2020-08-26,Brazil,17078
2020-08-27,Brazil,47134
