Date_reported,Anguilla,Argentina,Aruba,Bahamas,Barbados,Belize,Bermuda,Bonaire,Brazil,Canada,Chile,Colombia,Cuba,Curaçao,Dominica,Ecuador,Grenada,Guadeloupe,Guatemala,Guyana,Haiti,Honduras,Jamaica,Martinique,Mexico,Montserrat,Nicaragua,Panama,Paraguay,Peru,Saba,Suriname,Uruguay
2020-09-19,0,12701,54,90,0,31,0,0,36303,1120,1677,7568,71,0,0,0,0,0,680,43,0,460,197,0,3182,0,0,672,694,5698,0,26,20
2020-09-20,0,11945,0,0,0,23,0,0,39797,1044,1847,6526,51,0,0,3363,0,0,808,75,44,491,187,0,4841,0,0,741,1014,6314,0,20,14
2020-09-21,0,9276,0,138,0,16,2,20,33057,863,1600,7927,36,0,0,799,0,0,292,66,0,532,230,0,5167,0,0,722,888,6453,0,18,14
2020-09-22,0,8431,169,55,4,21,0,7,16389,875,1194,6678,50,72,0,292,0,0,237,101,24,473,155,0,3542,0,0,602,505,6030,0,14,13
2020-09-23,0,8782,36,48,0,8,0,5,13439,1766,1055,5359,81,0,0,932,0,1061,942,133,0,459,127,0,2917,0,86,607,740,4001,0,17,10
2020-09-24,0,12027,78,49,0,34,0,8,33536,1248,1380,7102,48,9,0,2339,0,0,819,35,22,231,125,168,4683,0,0,474,568,3650,0,19,7
2020-09-25,0,12625,56,151,0,37,1,7,33281,1090,1731,6731,40,10,0,1164,0,0,491,98,0,369,193,0,4786,0,0,706,743,6149,0,20,12
2020-09-26,0,13467,35,81,0,52,0,0,32817,1341,2234,6555,40,14,0,1329,0,0,945,44,38,518,135,0,5408,0,0,736,833,6235,0,10,13
2020-09-27,0,12969,0,91,1,50,0,0,31911,1362,2111,7494,62,0,0,1506,0,467,824,130,0,647,131,8,5401,0,0,705,822,5654,0,28,8
2020-09-28,0,11249,0,48,0,17,0,21,28378,1215,1922,7721,45,0,6,766,0,0,390,16,39,708,163,0,5573,0,0,677,696,5558,0,14,31
2020-09-29,0,8841,88,0,0,29,0,9,14318,1454,1770,7018,26,45,0,218,0,0,171,47,17,561,153,0,3886,0,0,447,762,5160,0,4,10
2020-09-30,0,11807,28,65,0,37,0,1,13155,2176,1629,5147,48,4,0,784,0,0,705,15,0,428,238,0,3400,0,81,722,748,3412,0,1,2
2020-10-01,0,13477,62,119,0,52,0,5,32058,1660,1691,5839,66,6,0,1298,0,574,778,59,26,561,74,245,4446,0,0,576,669,3054,0,27,23
2020-10-02,0,14392,29,101,0,49,0,0,33413,1797,1759,5637,73,22,1,1537,0,0,663,48,0,802,73,0,5053,0,0,742,657,3061,0,14,13
2020-10-03,0,14001,35,97,3,34,0,0,36157,1777,1840,5660,48,7,0,950,0,375,681,35,26,698,149,0,5099,0,0,747,1041,3468,0,14,15
2020-10-04,0,14687,0,112,3,54,0,0,33431,2124,1881,6192,62,0,0,817,0,0,658,39,0,671,91,0,4775,0,0,620,885,3267,0,8,36
2020-10-05,0,11129,0,77,0,51,0,10,26310,1812,1708,6616,29,0,0,683,0,0,215,37,27,519,100,0,4863,0,0,691,768,3421,0,25,25
2020-10-06,0,7668,81,43,3,65,0,10,8456,1685,1567,6905,36,53,0,305,0,0,219,88,0,841,117,0,3712,0,0,633,730,3184,0,17,23
2020-10-07,0,11242,15,107,1,8,0,4,11946,2804,1560,7106,38,10,0,717,0,0,688,95,0,391,97,0,3417,0,79,633,533,1830,0,13,10
2020-10-08,0,14740,14,73,3,39,0,2,41906,2363,1134,7650,15,14,0,1475,0,416,834,0,19,642,82,308,4476,0,0,683,932,2930,0,11,22
2020-10-09,0,16447,25,81,0,67,1,1,31553,1800,1576,7875,19,29,1,1514,0,0,776,104,16,498,82,0,4462,0,0,698,788,2733,0,14,29
2020-10-10,0,15454,17,151,0,63,2,0,27750,2436,1753,8496,26,27,0,0,0,0,455,37,0,512,90,0,30468,0,0,754,881,2952,0,25,20
2020-10-11,0,15099,0,91,2,54,0,0,27444,2558,1826,8121,5,0,0,1783,0,164,609,29,6,880,196,0,5263,0,0,787,959,4741,0,14,25
2020-10-12,0,12414,0,68,1,69,0,1,26749,2062,1776,8447,30,0,0,0,0,0,171,47,22,594,159,0,4577,0,0,825,703,2733,0,17,17
2020-10-13,0,10324,44,55,2,35,0,0,12342,1685,1517,8569,22,51,0,487,0,0,111,64,0,935,95,0,3175,0,0,647,697,3283,0,16,26
2020-10-14,0,9524,3,85,0,38,0,0,8429,975,1392,7767,17,2,0,856,1,0,554,52,5,332,97,0,3542,0,72,489,669,1800,0,7,19
2020-10-15,0,13305,32,28,2,16,1,0,10220,4042,1092,5015,18,34,0,912,0,425,714,44,21,439,79,406,4295,0,0,494,853,2803,0,14,24
