Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Europa Central y del Báltico;CEB;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7097.331931;6651.209056;6692.428853;6961.136253;7400.65598;7996.037311;8402.104756;8706.263161;9097.382897;9396.469193;10016.49826;10800.39832;11630.61626;12341.24567;13483.87545;14312.97189;15920.0333;17762.33681;19674.15515;19701.87946;20819.04834;22304.14135;23102.24467;23855.33021;24922.4771;26130.66301;27749.20283;29826.24274;32000.75878;34934.33777;34762.17167;37579.79768;
Suiza;CHE;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28486.55782;28817.75404;29138.56382;29521.57951;30292.40294;30869.35151;31542.78804;32770.98827;33905.90657;34818.07604;36779.78787;37903.98147;38814.37174;38842.85205;40336.62354;41749.21645;46499.93268;51214.58367;54096.80786;53354.54905;54855.6418;57987.50203;59933.59868;62225.08727;64103.01045;66020.20434;68105.15498;69103.57026;71660.20684;73716.24187;71991.24338;77140.07199;
Islas del Canal;CHI;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4437.05553;4872.139956;5533.63296;6026.750351;6473.88719;7250.189152;7959.486182;8581.435036;8927.836315;8921.984384;9468.318799;9876.226278;10239.38515;10820.67088;11735.17679;12685.02796;15676.58343;16875.71456;16550.44891;16118.37675;18104.7246;20330.5246;21584.68127;22425.58942;22779.42767;22691.48662;23492.28786;24546.91242;25564.53672;25608.59602;24806.86723;28367.93577;
China;CHN;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;981.4192074;1093.566229;1262.025483;1454.491592;1660.34688;1860.525063;2060.8681;2266.728838;2448.482291;2650.178686;2917.24253;3208.229957;3532.081651;3938.730274;4427.131003;5056.404724;5842.778636;6818.923409;7581.453513;8305.760185;9254.779603;10292.94048;11168.6973;11872.49738;12480.33853;12897.50229;13483.37727;14243.53261;15495.54842;16652.0988;17189.28179;19338.23408;
Côte d'Ivoire;CIV;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2756.253537;2744.91063;2698.279466;2657.932273;2640.380552;2787.38002;2952.262367;3180.317303;3242.547529;3227.520171;3202.951742;3121.727848;3007.357263;2852.020434;2952.041262;3005.998332;3116.371153;3166.671537;3310.47535;3379.412564;3577.706982;3384.930979;3483.689789;3801.616471;4254.230896;4579.814769;4650.670064;4750.936451;5067.861554;5343.001606;5377.785528;5850.051925;
Camerún;CMR;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2014.180376;1943.942149;1870.869795;1712.721313;1731.904671;1769.433731;1827.475086;1892.156976;1951.600648;2014.298885;2083.234248;2164.670413;2236.100696;2339.840649;2502.379084;2567.223587;2673.563213;2786.085597;2838.695078;2848.329956;2882.7507;2957.163456;3022.358011;3194.162032;3369.32489;3437.789826;3559.13512;3691.094724;3821.671109;3915.051508;3866.254472;4065.31161;
"Congo; República Democrática del";COD;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;848.096959;776.8816999;690.0514049;591.9798276;554.0108303;546.246191;540.1624425;510.4731031;495.9580972;467.8942276;432.6993394;420.2721766;426.1746285;445.5148537;473.9589299;502.8971999;528.8716998;558.9001538;586.0287494;587.5528153;616.5323991;650.4366032;650.9215896;731.9328213;824.4124376;877.6808352;932.4051652;1023.539833;1073.289169;1104.624423;1101.250402;1179.499142;
"Congo; República del";COG;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3429.411702;3530.7864;3605.204166;3551.369266;3331.574917;3442.723743;3559.743487;3525.355378;3620.050855;3482.032021;3687.232246;3769.265332;3910.797434;3910.654111;4016.429446;4305.869938;4616.63511;4267.756861;4473.227068;4827.907091;5152.51779;5204.000834;6062.822776;5810.922383;5681.772202;4448.916586;3687.580949;4073.926085;3876.869795;3851.010258;3570.016965;3553.287985;
Colombia;COL;"PIB per cápita; PPA ($ a precios internacionales actuales)";NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5083.670494;5252.637023;5479.891585;5796.490513;6143.693277;6475.079252;6607.499178;6829.085078;6825.870768;6520.964545;6753.464794;6911.727494;7085.62081;7398.183502;7888.450084;8412.996829;9135.678975;9891.37577;10291.19999;10357.33409;10830.19512;11694.72661;12095.6485;12798.66319;13390.03195;13378.67515;13971.33959;14334.91461;15161.31797;15872.30898;15117.86292;16884.67928;
