departamento,Provincia,Municipio,ciudad_comunidad,techo_teja
,Zudáñez,Presto,MUYU LOMITA,10
,Zudáñez,Presto,PASO PAYITA,12
,Zudáñez,Presto,PRESTO,407
,Zudáñez,Presto,PUCA PAMPA,24
,Zudáñez,Presto,ROSAS PAMPA,38
,Zudáñez,Presto,HORNO KHASA,4
,Zudáñez,Presto,JATUN HUASI,42
,Zudáñez,Presto,CEREZAL,50
,Zudáñez,Presto,MALA VISTA,0
,Zudáñez,Presto,TOMOROCO,98
,Zudáñez,Presto,WAIRA KHASA,2
,Zudáñez,Presto,ARAMASI,0
,Zudáñez,Presto,SILLANI,17
,Zudáñez,Presto,ARAMASI,53
,Zudáñez,Presto,MOLANI,4
,Zudáñez,Presto,LA JOYA CHARAL,26
,Zudáñez,Presto,RODEO EL PALMAR,80
,Zudáñez,Presto,LOMAN,15
,Zudáñez,Presto,EL PALMAR,3
,Zudáñez,Presto,PASOPAYA,163
,Zudáñez,Presto,RUMI CANCHA,2
,Zudáñez,Presto,SAN LUCAS UÑUCURI,2
,Zudáñez,Mojocoya,CASA GRANDE,54
,Zudáñez,Mojocoya,CHIQUERILLOS,31
,Zudáñez,Mojocoya,CHURICANA,58
,Zudáñez,Mojocoya,ASTILLERO,42
,Zudáñez,Mojocoya,HORNILLOS,25
,Zudáñez,Mojocoya,LA ABRA,39
,Zudáñez,Mojocoya,LA POZA,85
,Zudáñez,Mojocoya,LAYKACOTA,35
,Zudáñez,Mojocoya,QUIVALE,62
,Zudáñez,Mojocoya,RAMADAS,22
,Zudáñez,Mojocoya,RUMI CANCHA,23
,Zudáñez,Mojocoya,SACHA PAMPA,25
,Zudáñez,Mojocoya,SAN GERONIMO,52
,Zudáñez,Mojocoya,THACO PUJIO,12
,Zudáñez,Mojocoya,TORRE PAMPA,27
,Zudáñez,Mojocoya,LA CAÑADA,26
,Zudáñez,Mojocoya,LA JOYA,26
,Zudáñez,Mojocoya,REDENCION PAMPA,491
,Zudáñez,Mojocoya,RIO GRANDE,25
,Zudáñez,Mojocoya,SAN JORGE,56
,Zudáñez,Mojocoya,SAN LORENZO,67
,Zudáñez,Mojocoya,SERIPONA,23
,Zudáñez,Mojocoya,SITURI,20
,Zudáñez,Mojocoya,TOCORO,20
,Zudáñez,Mojocoya,TRIGO LOMA,43
,Zudáñez,Mojocoya,YACAMBE,78
