Departamento,Provincia,Municipio,Ciudad / Comunidad,pared_total,pared_ladrillo_cemento,pared_adobe_tapial,pared_tabique_quinche,pared_piedra,pared_madera,pared_canha_palma,pared_otro,techo_total,techo_calamina,techo_teja,techo_losa,techo_paja,techo_otro,piso_total,piso_tierra,piso_madera,piso_machimbre,piso_parquet,piso_ceramica,piso_cemento,piso_mosaico,piso_ladrillo,piso_otro
Cochabamba,Carrasco,Puerto Villarroel,SAN JULIAN,40,2,0,0,1,35,2,0,40,14,24,0,2,0,40,38,0,0,0,0,2,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SAN MARCOS,16,1,0,0,2,13,0,0,16,1,15,0,0,0,16,15,0,0,0,0,1,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SAN MARTIN A,27,0,0,0,0,27,0,0,27,13,7,0,7,0,27,27,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SAN MIGUEL,106,2,0,0,1,68,32,3,106,38,18,0,45,5,106,102,0,0,0,0,4,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SUIPACHA,24,12,0,0,0,10,1,1,24,10,13,0,1,0,24,13,0,0,0,0,11,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,TUPIZA,60,1,0,0,0,48,10,1,60,36,2,0,22,0,60,51,1,0,1,0,7,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,USTARIZ,9,0,0,0,0,1,7,1,9,2,1,0,5,1,9,9,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,VALLE HERMOSO B,24,0,0,0,0,12,4,8,24,14,4,0,5,1,24,24,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,VILLA AZURDUY,37,11,1,0,0,25,0,0,37,8,28,0,1,0,37,31,0,0,0,0,6,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,VILLA NUEVA,86,21,0,0,2,43,18,2,86,21,62,0,3,0,86,61,0,0,0,0,24,0,0,1
Cochabamba,Carrasco,Puerto Villarroel,VILLA PUCARA,12,1,0,0,0,10,1,0,12,11,0,0,0,1,12,11,0,0,0,0,1,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,VILLA ROSARIO A,31,2,0,0,0,26,3,0,31,27,4,0,0,0,31,28,0,0,0,0,3,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,VILLA ROSARIO B,15,0,0,0,0,3,10,2,15,12,1,0,2,0,15,15,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,VILLA VERDE (CENTRAL SENDA 5),43,1,0,0,0,30,12,0,43,31,1,0,11,0,43,42,0,0,0,0,1,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,VILLAZON,69,0,0,0,0,19,50,0,69,7,10,0,9,43,69,69,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,FLORIDA,45,21,0,0,0,24,0,0,45,13,28,0,4,0,45,25,0,0,0,0,20,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,PRIMER INGAVI,46,4,0,0,0,42,0,0,46,25,15,0,5,1,46,44,1,0,0,0,1,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,ROSARIO A,36,14,0,0,0,22,0,0,36,6,30,0,0,0,36,14,1,0,0,0,21,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,ROSARIO B,47,2,0,0,0,45,0,0,47,8,39,0,0,0,47,41,1,0,0,0,5,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SALVADOR,33,0,0,0,1,32,0,0,33,11,21,0,1,0,33,33,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,ANTOFAGASTA B,42,10,0,0,0,32,0,0,42,8,32,1,1,0,42,36,0,0,0,1,5,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,ALTO CHIJINI,58,15,0,0,2,36,5,0,58,27,29,0,0,2,58,34,1,0,0,0,23,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,RINCON VALLE ALTO,35,0,0,0,0,11,24,0,35,16,0,0,19,0,35,34,0,0,0,0,1,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SENDA VI,69,22,0,0,0,40,6,1,69,8,42,1,18,0,69,44,1,0,0,4,20,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SENDA CINCO,43,2,0,0,0,41,0,0,43,29,5,0,8,1,43,41,0,0,0,0,2,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SENDA VII,62,13,0,0,1,45,3,0,62,13,46,2,1,0,62,48,0,0,0,0,14,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,GERMAN BUSCH,59,3,0,0,0,54,2,0,59,7,51,0,1,0,59,52,0,0,0,1,6,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,NOR CHICHAS,16,0,0,0,1,12,3,0,16,10,5,0,1,0,16,13,0,0,0,0,3,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,NUEVA AMERICA,15,0,0,0,0,1,14,0,15,1,0,0,14,0,15,15,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SAN JUAN,62,3,0,0,0,58,1,0,62,32,28,0,2,0,62,61,0,0,0,0,1,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,VILLA ROSARIO,24,1,0,0,0,13,10,0,24,17,4,0,3,0,24,23,0,0,0,0,1,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,INGAVI A,2,0,0,0,0,1,1,0,2,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SEÑOR SANTIAGO,31,2,0,0,0,29,0,0,31,0,28,0,3,0,31,14,0,0,0,0,2,0,0,15
Cochabamba,Carrasco,Puerto Villarroel,VILLA SAN PABLO,114,48,0,0,0,58,8,0,114,73,38,1,2,0,114,65,0,0,0,0,49,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,UNION PARISO,23,1,0,0,0,19,2,1,23,18,0,0,4,1,23,22,0,0,0,0,1,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SAN MARTIN B,13,1,0,0,0,11,1,0,13,6,5,0,2,0,13,11,2,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,MUYU PAMPA,21,0,0,0,0,0,9,12,21,4,0,0,17,0,21,21,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,LAGUNILLAS,19,0,0,0,0,0,19,0,19,0,0,0,19,0,19,19,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,1 DE MAYO,15,0,0,0,0,13,1,1,15,8,4,0,3,0,15,14,1,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,LOMA ALTA,26,1,0,0,0,6,17,2,26,17,0,0,9,0,26,26,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,VILLA MONTES FLORIDA,35,0,0,0,0,35,0,0,35,3,0,0,32,0,35,35,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,ANTOFAGASTA A,43,2,0,0,0,41,0,0,43,20,23,0,0,0,43,41,0,0,0,0,2,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,QUIROGA B,10,1,0,0,0,6,3,0,10,8,0,0,2,0,10,10,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,VALLE HERMOSO A,30,0,0,0,0,10,20,0,30,18,3,0,9,0,30,29,0,0,0,0,0,0,0,1
Cochabamba,Carrasco,Puerto Villarroel,VILLA MONTES,52,1,0,0,0,29,22,0,52,11,15,0,25,1,52,52,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,BARRIENTOS,127,47,1,0,1,65,8,5,127,23,82,0,12,10,127,68,0,0,0,3,55,0,0,1
Cochabamba,Carrasco,Puerto Villarroel,BUENA VISTA,19,0,0,0,0,5,13,1,19,4,1,0,14,0,19,19,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SOLITARIO,15,0,0,0,0,6,6,3,15,4,3,0,8,0,15,15,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,URKUPIÑA,38,1,0,0,0,36,1,0,38,19,2,0,16,1,38,38,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,26 DE SEPTIEMBRE,24,0,0,0,0,2,22,0,24,1,0,0,23,0,24,24,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,LA FLORIDA - VUELTADERO,362,291,0,0,0,69,2,0,362,47,289,22,3,1,362,41,1,0,0,31,285,1,1,2
Cochabamba,Carrasco,Puerto Villarroel,14 DE SEPTIEMBRE,61,10,0,0,0,49,2,0,61,15,45,0,0,1,61,48,2,0,0,1,10,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,2 DE MARZO,121,37,0,0,0,82,2,0,121,21,100,0,0,0,121,77,0,0,0,2,42,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,24 DE SEPTIEMBRE,8,0,0,0,0,6,2,0,8,3,3,0,1,1,8,8,0,0,0,0,0,0,0,0
